"Date","Customer_Age","Customer_Gender","Country","State","Product","Order_Quantity"
"2024-06-14",50,"M","France","Seine (Paris)","AC_103",22
"2024-05-15",23,"F","France","Seine (Paris)","AC_103",23
"2023-10-08",17,"F","Germany","Nordrhein-Westfalen","AC_105",8
"2023-09-29",27,"F","France","Essonne","AC_103",8
"2024-04-08",29,"M","France","Hauts de Seine","AC_105",10
"2024-05-24",31,"M","Germany","Hamburg","AC_105",5
"2024-05-01",20,"M","Germany","Bayern","AC_105",26
"2023-12-03",31,"F","United States","California","AC_105",9
"2023-12-11",31,"F","United States","California","AC_105",6
"2024-05-04",31,"F","United States","California","AC_105",2
"2024-06-09",31,"F","United States","California","AC_105",27
"2024-03-11",35,"M","Canada","British Columbia","AC_105",10
"2024-03-04",37,"M","Canada","British Columbia","AC_105",7
"2024-07-15",21,"M","United States","California","AC_103",13
"2023-12-30",24,"M","Canada","British Columbia","AC_103",29
"2024-04-23",56,"F","Australia","New South Wales","AC_104",29
"2023-12-18",41,"F","France","Nord","AC_103",13
"2023-12-18",41,"F","France","Nord","AC_103",8
"2023-11-10",41,"F","Germany","Bayern","AC_104",22
"2024-03-01",42,"F","Germany","Nordrhein-Westfalen","AC_105",31
"2023-12-03",51,"M","Germany","Bayern","AC_103",5
"2024-02-21",44,"M","France","Seine Saint Denis","AC_105",20
"2023-08-03",46,"F","United Kingdom","England","AC_105",23
"2024-01-13",46,"F","United Kingdom","England","AC_105",20
"2024-01-28",25,"F","Australia","New South Wales","AC_104",3
"2024-05-03",25,"F","Australia","New South Wales","AC_104",12
"2023-10-22",26,"M","Germany","Saarland","AC_105",14
"2024-02-20",26,"M","Germany","Saarland","AC_105",6
"2023-12-09",23,"F","United States","Washington","AC_105",4
"2023-09-27",42,"M","United States","Washington","AC_105",28
"2024-01-23",38,"F","Canada","British Columbia","AC_103",25
"2024-07-21",38,"F","Canada","British Columbia","AC_103",20
"2024-04-19",28,"M","United States","Oregon","AC_105",24
"2023-12-24",29,"F","United States","Washington","AC_105",24
"2024-06-24",29,"F","United States","Washington","AC_105",6
"2024-06-07",23,"M","United States","Washington","AC_103",16
"2024-07-21",23,"M","United States","Washington","AC_103",24
"2024-03-21",24,"F","United States","Washington","AC_105",7
"2024-06-10",35,"M","Australia","Victoria","AC_103",31
"2023-12-23",47,"M","France","Seine Saint Denis","AC_105",20
"2024-02-08",43,"M","Australia","Victoria","AC_104",3
"2023-10-08",42,"F","Australia","Queensland","AC_104",1
"2023-08-02",40,"M","Canada","British Columbia","AC_104",21
"2023-12-07",40,"M","Canada","British Columbia","AC_104",22
"2024-06-13",40,"M","Canada","British Columbia","AC_104",14
"2024-01-10",60,"F","United States","California","AC_105",14
"2023-10-05",26,"M","Canada","British Columbia","AC_103",26
"2024-02-23",26,"M","Canada","British Columbia","AC_103",25
"2023-12-25",33,"F","Canada","British Columbia","AC_105",14
"2023-08-15",31,"M","United States","Washington","AC_105",21
"2023-09-13",31,"M","United States","Washington","AC_105",18
"2024-02-06",31,"M","United States","Washington","AC_105",9
"2023-12-21",20,"F","Germany","Saarland","AC_103",9
"2024-02-07",23,"F","United Kingdom","England","AC_105",24
"2024-03-15",23,"F","United Kingdom","England","AC_105",20
"2023-09-09",29,"M","France","Seine Saint Denis","AC_105",19
"2023-09-15",29,"M","France","Seine Saint Denis","AC_105",21
"2024-05-13",19,"M","Germany","Hamburg","AC_103",24
"2024-06-01",28,"F","United Kingdom","England","AC_105",13
"2024-03-10",53,"M","France","Seine (Paris)","AC_105",26
"2024-02-12",52,"F","United Kingdom","England","AC_105",20
"2023-10-09",37,"F","Australia","Victoria","AC_105",17
"2024-02-15",45,"M","United States","Washington","AC_105",1
"2023-12-04",32,"F","United States","California","AC_103",32
"2024-02-16",32,"F","United States","California","AC_103",9
"2024-05-09",43,"F","United States","California","AC_105",1
"2024-05-24",43,"F","United States","California","AC_105",3
"2024-04-20",54,"M","France","Hauts de Seine","AC_105",23
"2023-12-13",34,"F","Canada","British Columbia","AC_105",23
"2024-01-26",34,"F","Canada","British Columbia","AC_105",27
"2024-01-26",34,"F","Canada","British Columbia","AC_105",19
"2023-09-17",30,"F","United States","California","AC_105",30
"2024-02-17",33,"M","Australia","New South Wales","AC_105",30
"2023-12-14",49,"F","United Kingdom","England","AC_105",14
"2023-11-20",23,"M","Canada","British Columbia","AC_105",28
"2024-02-28",31,"M","United States","California","AC_105",18
"2023-09-23",51,"M","Canada","British Columbia","AC_103",16
"2023-11-10",51,"M","Canada","British Columbia","AC_103",25
"2024-01-07",47,"M","United States","Washington","AC_103",12
"2024-06-14",46,"F","Canada","British Columbia","AC_105",23
"2023-08-05",42,"M","United States","Oregon","AC_103",1
"2023-11-16",26,"F","United States","California","AC_103",25
"2024-02-11",26,"F","United States","California","AC_103",32
"2024-02-11",26,"F","United States","California","AC_103",16
"2024-05-26",37,"F","Canada","British Columbia","AC_105",3
"2023-08-30",44,"M","United States","California","AC_104",7
"2024-05-04",44,"M","United States","California","AC_104",21
"2023-12-24",30,"F","France","Seine (Paris)","AC_105",6
"2024-06-15",30,"F","France","Seine (Paris)","AC_105",20
"2023-12-15",34,"F","United Kingdom","England","AC_105",19
"2024-02-08",31,"F","United Kingdom","England","AC_105",5
"2024-03-27",36,"F","France","Seine Saint Denis","AC_105",9
"2024-03-27",36,"F","France","Seine Saint Denis","AC_105",12
"2023-12-23",53,"F","United Kingdom","England","AC_105",19
"2023-09-05",44,"M","United Kingdom","England","AC_105",3
"2024-02-12",44,"M","United Kingdom","England","AC_105",7
"2024-05-21",44,"M","United Kingdom","England","AC_105",28
"2023-10-15",56,"M","United States","Washington","AC_103",20
"2024-02-15",55,"M","Canada","British Columbia","AC_105",5
"2024-05-11",54,"F","Canada","British Columbia","AC_105",16
"2023-09-07",36,"M","Australia","New South Wales","AC_103",5
"2023-10-13",22,"M","United States","California","AC_105",8
"2023-11-13",18,"F","United States","Washington","AC_105",2
"2023-09-15",57,"M","Australia","New South Wales","AC_105",26
"2024-01-31",47,"M","United States","Oregon","AC_105",3
"2024-05-20",40,"F","Germany","Nordrhein-Westfalen","AC_104",11
"2024-05-24",40,"M","Germany","Nordrhein-Westfalen","AC_103",26
"2024-06-30",42,"M","United Kingdom","England","AC_104",10
"2023-09-05",37,"M","United States","California","AC_105",15
"2024-02-04",37,"M","United States","California","AC_105",14
"2023-08-05",28,"M","United States","California","AC_103",9
"2023-08-11",28,"M","United States","California","AC_103",21
"2024-01-04",32,"F","United States","Oregon","AC_105",7
"2024-04-06",32,"M","United States","California","AC_105",6
"2023-09-05",49,"F","United States","California","AC_105",12
"2023-10-02",49,"F","United States","California","AC_105",21
"2023-11-08",49,"F","United States","California","AC_105",4
"2024-05-30",49,"F","United States","California","AC_105",23
"2024-01-20",44,"M","Germany","Bayern","AC_104",8
"2024-03-30",47,"F","France","Nord","AC_103",15
"2024-02-03",48,"M","Germany","Nordrhein-Westfalen","AC_104",12
"2024-02-20",48,"M","Germany","Nordrhein-Westfalen","AC_104",6
"2024-05-07",31,"M","Australia","New South Wales","AC_105",9
"2024-06-21",19,"M","United States","California","AC_105",6
"2024-04-16",34,"F","United States","Oregon","AC_105",13
"2024-04-16",34,"F","United States","Oregon","AC_105",13
"2024-06-22",33,"F","United States","California","AC_105",12
"2024-04-04",34,"F","United States","California","AC_103",28
"2023-09-30",35,"M","United States","California","AC_105",13
"2024-01-12",36,"F","United States","Oregon","AC_105",8
"2023-10-08",43,"M","United States","Washington","AC_105",16
"2024-04-19",43,"M","United States","Washington","AC_105",1
"2024-03-28",60,"M","United States","California","AC_105",18
"2024-05-24",40,"M","United States","Oregon","AC_105",10
"2023-12-25",40,"F","United States","Oregon","AC_105",21
"2024-05-10",40,"F","United States","Oregon","AC_105",12
"2023-10-14",25,"M","United States","California","AC_105",20
"2024-05-14",25,"M","United States","California","AC_105",15
"2024-04-21",33,"M","United States","Washington","AC_105",20
"2024-06-08",33,"M","United States","Washington","AC_105",19
"2024-04-23",26,"M","United States","Washington","AC_105",3
"2024-04-07",19,"M","Australia","New South Wales","AC_105",16
"2024-04-25",29,"F","United Kingdom","England","AC_105",2
"2024-06-07",29,"F","United Kingdom","England","AC_105",8
"2024-06-14",29,"F","United Kingdom","England","AC_105",11
"2024-05-05",30,"M","Canada","British Columbia","AC_105",19
"2024-05-11",30,"M","Canada","British Columbia","AC_105",23
"2024-05-16",47,"F","United States","Washington","AC_105",5
"2024-05-08",45,"M","United States","California","AC_105",1
"2024-03-21",47,"M","Germany","Nordrhein-Westfalen","AC_103",5
"2023-08-11",47,"M","United Kingdom","England","AC_103",22
"2024-01-11",33,"F","United States","Washington","AC_105",25
"2024-07-28",33,"F","United States","Washington","AC_105",1
"2024-01-26",27,"M","Australia","New South Wales","AC_105",5
"2024-02-23",30,"M","Australia","Victoria","AC_104",25
"2024-06-29",30,"M","Australia","Victoria","AC_104",14
"2023-11-25",41,"F","Australia","New South Wales","AC_105",18
"2024-01-27",41,"F","Australia","New South Wales","AC_105",15
"2023-08-19",21,"F","United States","California","AC_105",10
"2023-10-21",21,"F","United States","California","AC_105",1
"2024-06-11",24,"F","United States","California","AC_105",27
"2023-11-15",41,"M","United States","California","AC_103",12
"2023-11-18",41,"M","United States","California","AC_103",15
"2024-06-07",41,"M","United States","California","AC_103",3
"2024-07-31",36,"M","United States","Virginia","AC_105",11
"2024-02-24",55,"M","United States","California","AC_105",4
"2023-08-24",27,"F","Canada","British Columbia","AC_103",25
"2024-01-02",22,"M","Canada","British Columbia","AC_105",12
"2024-06-09",40,"F","United States","Washington","AC_105",24
"2023-08-29",28,"F","Australia","Queensland","AC_105",20
"2024-05-12",28,"M","Australia","New South Wales","AC_105",23
"2023-08-01",23,"M","United States","California","AC_105",13
"2023-10-31",23,"M","United States","California","AC_105",10
"2024-04-11",23,"M","United States","California","AC_105",27
"2023-11-07",58,"M","United States","California","AC_105",6
"2023-09-12",43,"F","Australia","Queensland","AC_105",8
"2024-04-03",27,"F","Australia","New South Wales","AC_105",2
"2024-04-13",27,"F","Australia","New South Wales","AC_105",26
"2024-06-17",27,"F","Australia","New South Wales","AC_105",8
"2024-04-26",27,"M","United Kingdom","England","AC_105",3
"2023-11-17",30,"F","France","Seine Saint Denis","AC_105",1
"2024-02-24",20,"M","France","Hauts de Seine","AC_105",14
"2024-05-22",22,"F","France","Essonne","AC_105",1
"2024-06-27",69,"F","United States","California","AC_105",27
"2023-11-12",37,"F","United States","California","AC_105",5
"2024-01-13",37,"F","United States","California","AC_105",29
"2023-12-06",28,"F","Germany","Hessen","AC_105",11
"2024-01-28",28,"F","Germany","Hessen","AC_105",22
"2024-06-14",30,"F","Germany","Saarland","AC_105",7
"2023-08-27",34,"M","United Kingdom","England","AC_105",26
"2024-05-01",34,"M","United Kingdom","England","AC_105",29
"2024-05-07",34,"M","United Kingdom","England","AC_105",27
"2024-05-16",34,"M","United Kingdom","England","AC_105",3
"2023-08-07",41,"F","Australia","Victoria","AC_105",9
"2024-02-08",23,"F","United States","California","AC_105",15
"2024-01-19",42,"M","Canada","British Columbia","AC_105",25
"2024-01-27",42,"M","Canada","British Columbia","AC_105",27
"2023-08-12",57,"F","United States","California","AC_105",9
"2024-06-14",47,"M","Australia","South Australia","AC_105",16
"2023-09-25",40,"F","United States","California","AC_104",15
"2023-09-22",49,"M","France","Seine (Paris)","AC_103",13
"2023-12-28",25,"F","Australia","Queensland","AC_104",14
"2023-08-03",26,"F","Canada","British Columbia","AC_104",24
"2024-07-06",26,"F","Canada","British Columbia","AC_104",19
"2023-09-18",30,"F","Australia","Queensland","AC_105",18
"2023-11-09",43,"M","United States","Oregon","AC_104",28
"2024-02-14",48,"F","Australia","New South Wales","AC_105",28
"2023-12-03",17,"F","United States","California","AC_104",4
"2024-05-16",41,"M","United States","Oregon","AC_103",25
"2023-08-19",52,"M","United States","California","AC_103",16
"2023-10-19",52,"M","United States","California","AC_103",10
"2024-02-15",50,"F","United States","California","AC_105",26
"2023-09-28",49,"M","Canada","British Columbia","AC_105",11
"2024-04-22",47,"F","United States","California","AC_103",27
"2023-08-08",47,"M","United States","California","AC_105",18
"2024-05-26",47,"M","United States","California","AC_105",24
"2024-02-21",45,"F","United States","Washington","AC_105",31
"2024-05-09",45,"F","United States","Washington","AC_105",12
"2024-01-04",43,"F","United Kingdom","England","AC_103",7
"2024-05-22",43,"F","United Kingdom","England","AC_103",23
"2024-02-25",26,"F","Australia","New South Wales","AC_105",19
"2024-01-06",41,"F","United States","Oregon","AC_105",28
"2024-04-03",34,"M","United States","Oregon","AC_105",23
"2024-05-21",34,"M","United States","Oregon","AC_105",8
"2024-06-18",34,"M","United States","Oregon","AC_105",10
"2023-11-05",39,"F","United States","Washington","AC_105",25
"2024-07-20",39,"F","United States","California","AC_105",16
"2024-07-26",39,"F","United States","California","AC_105",17
"2023-12-21",18,"M","United States","California","AC_105",20
"2024-05-02",18,"M","United States","California","AC_105",17
"2024-06-20",18,"M","United States","California","AC_105",25
"2024-01-20",19,"M","United States","Washington","AC_105",30
"2024-01-29",42,"F","United States","California","AC_103",12
"2023-11-05",43,"M","United States","California","AC_105",25
"2024-02-05",45,"F","United States","California","AC_105",8
"2024-02-15",45,"F","United States","California","AC_105",3
"2024-05-30",45,"F","United States","California","AC_105",4
"2024-03-13",51,"M","Australia","New South Wales","AC_103",4
"2024-01-18",50,"M","Australia","Victoria","AC_105",1
"2024-02-22",48,"M","Australia","Queensland","AC_103",2
"2024-05-05",48,"M","Australia","Queensland","AC_103",2
"2024-05-11",48,"M","Australia","Queensland","AC_103",22
"2023-08-15",55,"F","United States","California","AC_105",11
"2023-08-15",55,"F","United States","California","AC_105",15
"2023-12-31",53,"M","United States","Oregon","AC_105",16
"2024-01-17",53,"M","Canada","British Columbia","AC_105",5
"2024-05-20",48,"F","United States","California","AC_104",4
"2023-10-08",40,"M","Germany","Saarland","AC_103",11
"2024-01-14",40,"M","Germany","Saarland","AC_103",1
"2023-12-10",24,"M","Australia","Queensland","AC_105",9
"2024-03-06",27,"F","United States","California","AC_104",13
"2023-09-22",34,"M","United States","Washington","AC_105",6
"2024-01-13",31,"F","United States","Washington","AC_105",18
"2023-09-18",44,"F","United States","California","AC_105",28
"2023-08-04",53,"F","United States","Washington","AC_105",20
"2024-04-15",53,"F","United States","Washington","AC_105",5
"2023-09-24",51,"F","United States","California","AC_105",26
"2024-04-06",48,"M","United States","California","AC_105",9
"2024-02-16",46,"F","United States","California","AC_105",28
"2024-05-06",46,"F","United States","California","AC_105",12
"2024-01-29",43,"M","Germany","Bayern","AC_105",2
"2024-02-05",43,"M","Germany","Bayern","AC_105",11
"2024-05-23",33,"F","Australia","Victoria","AC_105",15
"2023-10-21",32,"M","Australia","Queensland","AC_105",17
"2023-11-09",24,"F","Canada","British Columbia","AC_105",1
"2023-10-08",25,"F","United States","California","AC_104",27
"2023-12-10",25,"F","United States","California","AC_104",19
"2024-04-25",29,"M","Canada","British Columbia","AC_105",10
"2024-04-24",29,"M","United States","California","AC_105",9
"2023-10-30",35,"M","United States","Oregon","AC_105",25
"2023-11-18",44,"F","United States","Oregon","AC_105",2
"2024-01-15",44,"F","Canada","British Columbia","AC_105",2
"2024-02-04",59,"F","United States","California","AC_105",27
"2023-08-16",28,"M","Canada","British Columbia","AC_104",21
"2024-01-15",28,"M","Canada","British Columbia","AC_104",1
"2024-06-11",41,"F","United States","California","AC_105",1
"2023-12-27",36,"F","Germany","Bayern","AC_105",22
"2023-09-04",27,"M","Germany","Nordrhein-Westfalen","AC_105",14
"2024-02-20",27,"F","United Kingdom","England","AC_105",17
"2024-03-15",27,"F","United Kingdom","England","AC_105",3
"2023-12-07",28,"M","France","Hauts de Seine","AC_104",30
"2023-09-21",24,"M","United States","Oregon","AC_105",20
"2023-09-02",40,"F","United Kingdom","England","AC_105",13
"2023-12-13",37,"F","United Kingdom","England","AC_104",1
"2024-03-25",37,"F","United Kingdom","England","AC_104",30
"2024-03-18",30,"F","France","Moselle","AC_105",12
"2024-01-06",33,"M","United Kingdom","England","AC_105",8
"2024-04-10",31,"F","France","Nord","AC_105",3
"2024-06-24",34,"M","France","Seine Saint Denis","AC_105",15
"2023-10-28",31,"M","Australia","Victoria","AC_105",11
"2023-08-15",33,"F","Australia","New South Wales","AC_105",28
"2023-09-27",34,"F","Australia","Tasmania","AC_105",20
"2024-03-23",40,"M","Australia","Queensland","AC_105",27
"2024-02-12",62,"F","United States","California","AC_104",18
"2023-12-25",20,"M","Canada","British Columbia","AC_104",19
"2024-05-06",38,"F","Australia","New South Wales","AC_105",11
"2024-04-05",28,"F","United States","California","AC_104",10
"2024-07-29",32,"M","United States","Oregon","AC_103",24
"2024-04-11",26,"M","France","Moselle","AC_105",11
"2023-11-17",42,"F","United States","Oregon","AC_103",8
"2024-02-10",42,"F","United States","Washington","AC_103",28
"2024-02-20",40,"M","United States","California","AC_105",23
"2024-05-15",40,"M","United States","California","AC_105",13
"2024-07-06",40,"M","United States","California","AC_105",5
"2024-07-17",40,"M","United States","California","AC_105",6
"2024-05-29",35,"F","United States","Washington","AC_104",26
"2024-06-09",35,"F","United States","Washington","AC_104",11
"2023-11-28",36,"F","United States","Washington","AC_104",6
"2024-03-16",36,"F","United States","Washington","AC_104",12
"2024-02-02",31,"F","Australia","Queensland","AC_105",5
"2024-01-15",31,"F","Australia","New South Wales","AC_105",31
"2024-06-19",31,"F","Australia","New South Wales","AC_105",11
"2023-11-22",33,"M","United States","California","AC_103",26
"2024-01-19",63,"M","United States","Washington","AC_105",15
"2024-02-27",63,"M","United States","Washington","AC_105",5
"2024-05-15",38,"M","Australia","New South Wales","AC_105",31
"2023-08-28",17,"M","United Kingdom","England","AC_105",26
"2023-10-22",17,"M","United Kingdom","England","AC_105",19
"2023-10-10",32,"F","France","Yveline","AC_105",6
"2024-04-11",19,"M","United Kingdom","England","AC_105",12
"2024-05-06",35,"F","United Kingdom","England","AC_105",18
"2024-05-10",27,"F","France","Yveline","AC_105",17
"2023-11-16",31,"M","France","Seine (Paris)","AC_104",2
"2023-12-26",31,"M","United Kingdom","England","AC_105",21
"2024-02-02",29,"F","France","Loiret","AC_105",10
"2024-06-02",18,"F","United States","California","AC_104",1
"2023-10-15",36,"M","United States","California","AC_104",5
"2023-12-05",36,"M","United States","California","AC_104",13
"2024-02-19",36,"M","United States","California","AC_104",4
"2024-03-30",36,"M","United States","California","AC_104",9
"2024-01-05",29,"M","Australia","Queensland","AC_105",5
"2023-10-03",33,"M","Australia","Victoria","AC_105",18
"2023-12-02",22,"F","Canada","British Columbia","AC_103",17
"2023-11-26",26,"F","United Kingdom","England","AC_105",23
"2024-06-30",39,"F","Canada","Alberta","AC_104",25
"2023-12-21",32,"F","Canada","British Columbia","AC_105",7
"2024-03-18",32,"F","Canada","British Columbia","AC_105",5
"2024-01-12",24,"M","Australia","New South Wales","AC_105",6
"2024-05-07",24,"M","Australia","New South Wales","AC_105",13
"2024-05-13",49,"M","Australia","Queensland","AC_103",19
"2023-08-14",30,"F","United States","Washington","AC_105",22
"2023-08-16",38,"M","Canada","British Columbia","AC_105",1
"2024-06-17",38,"M","United States","California","AC_105",27
"2024-07-31",38,"M","United States","California","AC_105",18
"2024-01-09",41,"M","Australia","New South Wales","AC_105",4
"2023-08-12",32,"M","Canada","British Columbia","AC_105",31
"2023-12-06",32,"M","Canada","British Columbia","AC_105",24
"2024-05-20",31,"M","Germany","Hessen","AC_104",28
"2023-09-13",20,"M","United Kingdom","England","AC_104",31
"2024-05-04",20,"M","United Kingdom","England","AC_104",15
"2024-04-27",29,"F","United States","Oregon","AC_105",5
"2023-11-10",32,"M","France","Seine (Paris)","AC_105",16
"2023-10-03",54,"M","Germany","Hessen","AC_104",11
"2024-02-01",38,"F","France","Somme","AC_105",11
"2023-08-12",51,"M","United Kingdom","England","AC_105",9
"2024-02-08",48,"F","United Kingdom","England","AC_105",16
"2024-03-10",51,"F","United States","Oregon","AC_105",14
"2024-07-14",51,"F","United States","Oregon","AC_105",13
"2023-10-11",17,"F","Canada","British Columbia","AC_105",15
"2023-08-30",27,"M","United States","Washington","AC_104",25
"2023-10-12",27,"M","United States","Washington","AC_104",25
"2024-04-08",37,"M","Australia","South Australia","AC_104",19
"2023-12-08",18,"M","Australia","Victoria","AC_104",19
"2023-11-18",43,"F","Canada","British Columbia","AC_104",8
"2023-12-04",42,"F","Canada","British Columbia","AC_105",25
"2023-10-05",27,"M","United States","California","AC_105",20
"2023-11-06",27,"F","Germany","Nordrhein-Westfalen","AC_104",22
"2024-04-22",23,"F","Germany","Bayern","AC_105",15
"2024-05-31",19,"M","Germany","Hessen","AC_104",14
"2024-04-02",29,"F","United States","California","AC_105",26
"2024-04-02",29,"F","United States","California","AC_105",13
"2023-11-05",22,"F","Australia","Queensland","AC_104",19
"2023-08-03",23,"M","Australia","Tasmania","AC_105",1
"2024-01-03",42,"M","Australia","Victoria","AC_104",6
"2024-06-11",18,"F","Australia","Queensland","AC_105",20
"2024-06-23",18,"F","Australia","Queensland","AC_105",6
"2023-12-19",20,"M","Australia","Victoria","AC_104",28
"2023-10-14",36,"M","Germany","Bayern","AC_105",17
"2024-06-19",37,"F","France","Seine (Paris)","AC_105",1
"2024-06-06",27,"M","Australia","Victoria","AC_105",12
"2024-05-24",49,"M","United States","California","AC_105",18
"2023-12-26",40,"F","Australia","Victoria","AC_104",20
"2024-03-25",58,"F","Australia","New South Wales","AC_105",25
"2024-04-14",30,"M","United Kingdom","England","AC_105",17
"2024-04-30",30,"M","United Kingdom","England","AC_105",3
"2023-10-17",36,"F","Germany","Hamburg","AC_104",1
"2024-03-20",28,"M","United Kingdom","England","AC_105",15
"2023-11-05",28,"F","Germany","Saarland","AC_105",26
"2024-02-23",26,"M","United Kingdom","England","AC_104",32
"2024-07-04",26,"M","United Kingdom","England","AC_104",15
"2024-06-05",27,"F","France","Seine et Marne","AC_105",14
"2024-03-22",47,"F","France","Seine (Paris)","AC_104",21
"2023-09-04",23,"M","Australia","Victoria","AC_103",7
"2023-12-08",24,"F","Australia","New South Wales","AC_105",21
"2023-12-08",24,"F","Australia","New South Wales","AC_105",16
"2023-12-31",27,"M","Australia","Queensland","AC_105",25
"2023-08-13",47,"F","Australia","New South Wales","AC_105",1
"2023-11-03",47,"F","Australia","New South Wales","AC_105",29
"2024-01-31",38,"M","Australia","South Australia","AC_103",22
"2023-12-09",39,"M","United States","Washington","AC_105",8
"2023-10-29",34,"M","United States","California","AC_105",19
"2023-12-18",34,"M","United States","California","AC_105",7
"2024-01-29",34,"M","United States","California","AC_105",17
"2024-03-06",48,"F","Canada","British Columbia","AC_105",28
"2024-04-11",37,"F","Australia","New South Wales","AC_105",23
"2024-04-26",37,"F","Australia","New South Wales","AC_105",7
"2023-11-04",34,"M","Australia","Queensland","AC_105",32
"2024-02-03",37,"M","Australia","New South Wales","AC_104",27
"2024-06-28",55,"M","Australia","New South Wales","AC_105",27
"2023-09-17",32,"M","Germany","Hamburg","AC_105",24
"2024-06-02",32,"M","Germany","Hamburg","AC_105",27
"2024-04-20",17,"F","Canada","British Columbia","CL_100",17
"2023-10-04",46,"F","Canada","British Columbia","CL_100",8
"2023-12-07",45,"M","United States","California","CL_100",23
"2024-06-30",51,"M","United Kingdom","England","CL_100",26
"2024-01-04",23,"F","Australia","Queensland","CL_100",1
"2023-12-25",27,"M","United States","Oregon","CL_100",6
"2024-01-18",31,"F","United States","Washington","CL_100",15
"2024-02-07",32,"M","United States","Oregon","CL_100",19
"2024-01-21",35,"F","United States","California","CL_100",24
"2024-07-16",35,"F","United States","California","CL_100",2
"2024-01-30",30,"M","Australia","Tasmania","CL_100",16
"2024-07-17",31,"F","Canada","British Columbia","CL_100",17
"2023-12-16",37,"M","Canada","British Columbia","CL_100",18
"2023-08-14",41,"F","Australia","New South Wales","CL_100",15
"2023-12-31",23,"M","United States","California","CL_100",31
"2024-05-05",23,"M","United States","California","CL_100",18
"2024-04-18",53,"F","Canada","British Columbia","CL_100",4
"2024-02-13",32,"M","Canada","British Columbia","CL_100",7
"2023-08-13",43,"M","United Kingdom","England","CL_100",18
"2024-03-05",21,"F","Australia","Queensland","CL_100",28
"2023-11-20",23,"M","United Kingdom","England","CL_100",22
"2023-09-09",33,"M","Germany","Nordrhein-Westfalen","CL_100",9
"2023-08-18",20,"F","France","Seine (Paris)","CL_100",19
"2023-08-22",36,"M","United Kingdom","England","CL_100",4
"2024-02-05",37,"M","United Kingdom","England","CL_100",24
