Number of Records;Cell Cgi;Cell Tower Lat;Cell Tower Location;Cell Tower Long;Cell Tower State;Comm Date;Comm Identifier;Comm Time;Comm Timedate String;Comm Timestamp;Comm Type;Id
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:45:53;4/8/14 20:45;1396953953;SMS;36
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:52:13;4/8/14 20:52;1396954333;SMS;37
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:53:22;4/8/14 20:53;1396954402;SMS;38
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:54:09;4/8/14 20:54;1396954449;SMS;39
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:55:25;4/8/14 20:55;1396954525;SMS;40
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:56:54;4/8/14 20:56;1396954614;SMS;41
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/10/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 20:42:49;4/10/14 20:42;1397126569;Phone;42
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:35:08;4/10/14 21:35;1397129708;SMS;43
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:36:24;4/10/14 21:36;1397129784;SMS;44
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:36:35;4/10/14 21:36;1397129795;SMS;45
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:43:10;4/10/14 21:43;1397130190;SMS;46
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:44:02;4/10/14 21:44;1397130242;SMS;47
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:46:53;4/10/14 21:46;1397130413;SMS;48
1;50501015334B6;-33,8885;CHIPPENDALE;151,20063;;4/10/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 21:46:58;4/10/14 21:46;1397130418;SMS;49
1;5.0501E+12;-33,88964;SURRY HILLS;151,21142;;4/11/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 9:49:59;4/11/14 9:49;1397173799;Phone;50
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/12/14;0767e517fa09e8bcc0b87461133830378a107619;30/12/1899 8:16:52;4/12/14 8:16;1397254612;Phone;51
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/13/14;6ce4ad58c49c34d1bf2eb8f0daa92a0669d43841;30/12/1899 1:42:06;4/13/14 1:42;1397317326;Phone;52
1;50501015388B9;-33,89293048;REDFERN TE;151,2022686;;4/13/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 10:58:41;4/13/14 10:58;1397350721;Phone;53
1;50501015388BE;-33,89293048;REDFERN TE;151,2022686;;4/13/14;cad22015a5d60bd80c4a24a313f9962f6890a8b8;30/12/1899 11:20:43;4/13/14 11:20;1397352043;SMS;54
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/13/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 17:44:07;4/13/14 17:44;1397375047;Phone;55
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;c8f92bd0f4e6fb45ed7fce96fc831b283db2b642;30/12/1899 7:52:45;4/14/14 7:52;1397425965;Phone;56
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/14/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 9:20:50;4/14/14 9:20;1397431250;Phone;57
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 14:50:26;4/14/14 14:50;1397451026;SMS;58
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 14:57:57;4/14/14 14:57;1397451477;SMS;59
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 14:59:31;4/14/14 14:59;1397451571;SMS;60
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 14:59:45;4/14/14 14:59;1397451585;SMS;61
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 15:01:36;4/14/14 15:01;1397451696;SMS;62
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/14/14;a804558e420ececf05faedf05722704a115f1b50;30/12/1899 15:26:09;4/14/14 15:26;1397453169;Phone;63
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/14/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 16:33:21;4/14/14 16:33;1397457201;Phone;64
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/14/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 16:34:39;4/14/14 16:34;1397457279;Phone;65
1;50501015388BE;-33,89293048;REDFERN TE;151,2022686;;4/14/14;a804558e420ececf05faedf05722704a115f1b50;30/12/1899 19:13:58;4/14/14 19:13;1397466838;Phone;66
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:04:02;4/14/14 21:04;1397473442;SMS;67
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:06:40;4/14/14 21:06;1397473600;SMS;68
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:07:07;4/14/14 21:07;1397473627;SMS;69
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:07:33;4/14/14 21:07;1397473653;SMS;70
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:09:01;4/14/14 21:09;1397473741;SMS;71
1;50501015388B9;-33,89293048;REDFERN TE;151,2022686;;4/14/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:11:49;4/14/14 21:11;1397473909;SMS;72
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/16/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 10:45:24;4/16/14 10:45;1397609124;Phone;73
1;505010153744F;-33,87829;CHINATOWN;151,20345;;4/16/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 11:59:02;4/16/14 11:59;1397613542;Phone;74
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/16/14;a24a4646d074a779b45b34b943a47bf33168f791;30/12/1899 17:15:19;4/16/14 17:15;1397632519;SMS;75
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/16/14;a24a4646d074a779b45b34b943a47bf33168f791;30/12/1899 17:18:00;4/16/14 17:18;1397632680;SMS;76
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/17/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 14:48:56;4/17/14 14:48;1397710136;Phone;77
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/17/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 14:49:30;4/17/14 14:49;1397710170;Phone;78
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/17/14;c8f92bd0f4e6fb45ed7fce96fc831b283db2b642;30/12/1899 15:59:07;4/17/14 15:59;1397714347;Phone;79
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/17/14;12e3d1b0c95aa32b6890c4455918dfc10e09fb51;30/12/1899 17:42:03;4/17/14 17:42;1397720523;Phone;80
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/18/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 13:48:36;4/18/14 13:48;1397792916;Phone;81
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 15:31:27;4/18/14 15:31;1397799087;SMS;82
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 15:34:12;4/18/14 15:34;1397799252;SMS;83
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/18/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 15:46:37;4/18/14 15:46;1397799997;SMS;84
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/18/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 15:49:15;4/18/14 15:49;1397800155;SMS;85
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:01:07;4/18/14 18:01;1397808067;SMS;86
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:01:09;4/18/14 18:01;1397808069;SMS;87
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:35:39;4/18/14 18:35;1397810139;SMS;88
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:35:41;4/18/14 18:35;1397810141;SMS;89
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:38:34;4/18/14 18:38;1397810314;SMS;90
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/18/14;e09b94f3bc39fe9e125904ce03f037899fd54c60;30/12/1899 18:38:37;4/18/14 18:38;1397810317;SMS;91
1;5050101527C33;-33,79661;FAIRLIGHT 137 SYDNEY RD;151,27756;;4/19/14;a5834ee77b2c1dd26c78966f5e2c989c453878ba;30/12/1899 12:34:55;4/19/14 12:34;1397874895;Phone;92
1;505010152168F;-33,796679;MANLY #;151,285293;;4/21/14;9039f13710c84d207864169cacc97ddc1b5accb1;30/12/1899 10:12:11;4/21/14 10:12;1398039131;SMS;93
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/22/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 19:26:43;4/22/14 19:26;1398158803;SMS;94
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/22/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 19:29:00;4/22/14 19:29;1398158940;SMS;95
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/22/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 19:40:03;4/22/14 19:40;1398159603;SMS;96
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/22/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 19:42:29;4/22/14 19:42;1398159749;SMS;97
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;7f777edca3555fc1859fa24bddab1ed9dc5936d7;30/12/1899 13:37:31;4/23/14 13:37;1398224251;Phone;98
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/23/14;c8f92bd0f4e6fb45ed7fce96fc831b283db2b642;30/12/1899 16:07:42;4/23/14 16:07;1398233262;Phone;99
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/23/14;7f777edca3555fc1859fa24bddab1ed9dc5936d7;30/12/1899 16:08:49;4/23/14 16:08;1398233329;Phone;100
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:17:56;4/23/14 16:17;1398233876;SMS;101
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:20:19;4/23/14 16:20;1398234019;SMS;102
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:24:24;4/23/14 16:24;1398234264;SMS;103
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:26:02;4/23/14 16:26;1398234362;SMS;104
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:28:46;4/23/14 16:28;1398234526;SMS;105
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;746da741fb2ac66a5130b1ce2ee4615a58b356ae;30/12/1899 16:29:10;4/23/14 16:29;1398234550;SMS;106
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/23/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 16:45:38;4/23/14 16:45;1398235538;Phone;107
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/23/14;a24a4646d074a779b45b34b943a47bf33168f791;30/12/1899 19:39:01;4/23/14 19:39;1398245941;SMS;108
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/23/14;a24a4646d074a779b45b34b943a47bf33168f791;30/12/1899 19:45:47;4/23/14 19:45;1398246347;SMS;109
1;5050101532B23;-33,8841;CHIPPENDALE;151,20234;;4/24/14;a3dfe2f2e41135cee91149d5d5ffb323b30a6354;30/12/1899 0:51:34;4/24/14 0:51;1398264694;Phone;110
1;5050101536E5F;-33,8841;CHIPPENDALE;151,20234;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 1:40:52;4/24/14 1:40;1398267652;SMS;111
1;5050101536E5F;-33,8841;CHIPPENDALE;151,20234;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 1:41:00;4/24/14 1:41;1398267660;SMS;112
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 10:16:36;4/24/14 10:16;1398298596;SMS;113
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/24/14;7f777edca3555fc1859fa24bddab1ed9dc5936d7;30/12/1899 14:54:16;4/24/14 14:54;1398315256;Phone;114
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/24/14;12e3d1b0c95aa32b6890c4455918dfc10e09fb51;30/12/1899 14:55:13;4/24/14 14:55;1398315313;Phone;115
1;5050101532B25;-33,8841;CHIPPENDALE;151,20234;;4/24/14;7f777edca3555fc1859fa24bddab1ed9dc5936d7;30/12/1899 15:02:26;4/24/14 15:02;1398315746;Phone;116
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/24/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 18:58:47;4/24/14 18:58;1398329927;Phone;117
1;5050101538F8F;-33,8841;CHIPPENDALE;151,20234;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:09:32;4/24/14 22:09;1398341372;SMS;118
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:11:44;4/24/14 22:11;1398341504;SMS;119
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:11:47;4/24/14 22:11;1398341507;SMS;120
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:31:50;4/24/14 22:31;1398342710;SMS;121
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:41:33;4/24/14 22:41;1398343293;SMS;122
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:41:35;4/24/14 22:41;1398343295;SMS;123
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:44:59;4/24/14 22:44;1398343499;SMS;124
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:45:02;4/24/14 22:45;1398343502;SMS;125
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:48:42;4/24/14 22:48;1398343722;SMS;126
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:51:13;4/24/14 22:51;1398343873;SMS;127
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:52:42;4/24/14 22:52;1398343962;SMS;128
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:52:45;4/24/14 22:52;1398343965;SMS;129
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:57:18;4/24/14 22:57;1398344238;SMS;130
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 22:57:21;4/24/14 22:57;1398344241;SMS;131
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/24/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 23:01:56;4/24/14 23:01;1398344516;SMS;132
1;5.05E+103;-33,88024;HAYMARKET #;151,20569;;4/25/14;7325eeeaf3601e7d67d601e7fbfd5282764c5c3a;30/12/1899 17:34:39;4/25/14 17:34;1398411279;Phone;133
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/25/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 21:27:17;4/25/14 21:27;1398425237;SMS;134
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/25/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 21:27:20;4/25/14 21:27;1398425240;SMS;135
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/26/14;a804558e420ececf05faedf05722704a115f1b50;30/12/1899 11:11:54;4/26/14 11:11;1398474714;Phone;136
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/26/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 11:47:55;4/26/14 11:47;1398476875;SMS;137
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/26/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 11:49:38;4/26/14 11:49;1398476978;SMS;138
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/26/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 11:55:00;4/26/14 11:55;1398477300;SMS;139
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/26/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 11:55:02;4/26/14 11:55;1398477302;SMS;140
1;50501015388B9;-33,89293048;REDFERN TE;151,2022686;;4/26/14;cd3b39466869088df4904451c626591cc500e4ba;30/12/1899 11:57:06;4/26/14 11:57;1398477426;SMS;141
