Name,Year,Platform,Platform_Generation,Platform_Company,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Mario Kart: Double Dash!!,2003,GC,6th,Nintendo,4.12,1.77,0.87,6.95
Just Dance 4,2012,Wii,7th,Nintendo,4.14,2.21,0,6.91
FIFA 14,2013,PS3,7th,Sony,0.78,4.32,0.07,6.9
Need for Speed Underground 2,2004,PS2,6th,Sony,2.71,3.02,0.08,6.9
Medal of Honor: Frontline,2002,PS2,6th,Sony,2.93,2.75,0.17,6.83
Uncharted 3: Drake's Deception,2011,PS3,7th,Sony,2.77,2.8,0.19,6.83
Crash Bandicoot,1996,PS,5th,Sony,3.23,2.35,0.94,6.82
Zumba Fitness,2010,Wii,7th,Nintendo,3.5,2.64,0,6.81
Gears of War 2,2008,X360,7th,Microsoft,4.15,1.92,0.06,6.76
Uncharted 2: Among Thieves,2009,PS3,7th,Sony,3.27,2.25,0.21,6.73
Call of Duty 4: Modern Warfare,2007,PS3,7th,Sony,3.1,2.3,0.28,6.72
FIFA 12,2011,PS3,7th,Sony,0.84,4.32,0.11,6.69
Red Dead Redemption,2010,PS3,7th,Sony,2.79,2.61,0.17,6.6
FIFA 15,2014,PS4,8th,Sony,0.79,4.29,0.05,6.59
Donkey Kong Country Returns,2010,Wii,7th,Nintendo,3.25,1.84,1.03,6.59
The Elder Scrolls V: Skyrim,2011,PS3,7th,Sony,2.55,2.71,0.25,6.56
Assassin's Creed III,2012,PS3,7th,Sony,2.64,2.56,0.16,6.5
Halo: Combat Evolved,2001,XB,6th,Microsoft,4.98,1.3,0.08,6.43
Kingdom Hearts,2002,PS2,6th,Sony,3.64,1.2,1.49,6.4
Halo 3: ODST,2009,X360,7th,Microsoft,4.34,1.35,0.06,6.36
Red Dead Redemption,2010,X360,7th,Microsoft,3.7,1.97,0.09,6.34
Super Mario Sunshine,2002,GC,6th,Nintendo,4.01,1.26,0.87,6.31
Street Fighter II: The World Warrior,1992,SNES,4th,Nintendo,2.47,0.83,2.87,6.3
Driver,1999,PS,5th,Sony,3.11,2.8,0.02,6.27
Kinect Sports,2010,X360,7th,Microsoft,3.92,1.78,0.03,6.24
Gears of War 3,2011,X360,7th,Microsoft,4.05,1.62,0.07,6.24
Gears of War,2006,X360,7th,Microsoft,3.54,1.9,0.07,6.11
Metal Gear Solid 2: Sons of Liberty,2001,PS2,6th,Sony,2.45,2.01,0.87,6.05
Sonic the Hedgehog 2,1992,GEN,4th,Sega,4.47,1.2,0.16,6.03
Metal Gear Solid 4: Guns of the Patriots,2008,PS3,7th,Sony,2.63,1.74,0.83,6.03
Metal Gear Solid,1998,PS,5th,Sony,3.18,1.83,0.78,6.03
The Last of Us,2013,PS3,7th,Sony,2.41,2.28,0.28,5.99
Final Fantasy XII,2006,PS2,6th,Sony,1.88,0,2.33,5.95
LittleBigPlanet,2008,PS3,7th,Sony,2.8,2.05,0.17,5.92
LEGO Star Wars: The Complete Saga,2007,Wii,7th,Nintendo,3.66,1.63,0,5.83
Resident Evil 2,1998,PS,5th,Sony,1.88,1.47,2.02,5.82
Tekken 2,1996,PS,5th,Sony,2.26,1.89,1.36,5.74
Destiny,2014,PS4,8th,Sony,2.49,2.05,0.16,5.65
Assassin's Creed II,2009,PS3,7th,Sony,2.54,1.95,0.21,5.57
Super Smash Bros.,1999,N64,5th,Nintendo,2.95,0.6,1.97,5.55
Assassin's Creed,2007,X360,7th,Microsoft,3.28,1.65,0.07,5.55
Batman: Arkham City,2011,PS3,7th,Sony,2.7,1.91,0.11,5.53
Forza Motorsport 3,2009,X360,7th,Microsoft,2.99,1.92,0.1,5.51
Pokemon Stadium,1999,N64,5th,Nintendo,3.18,1.24,0.94,5.45
Call of Duty: World at War,2008,PS3,7th,Sony,2.72,1.87,0,5.43
Crash Bandicoot: The Wrath of Cortex,2001,PS2,6th,Sony,2.07,2.29,0.24,5.42
Minecraft,2014,PS3,7th,Sony,1.97,2.51,0,5.42
Final Fantasy XIII,2009,PS3,7th,Sony,1.74,1.24,1.87,5.36
Assassin's Creed III,2012,X360,7th,Microsoft,3.13,1.71,0.03,5.3
Final Fantasy IX,2000,PS,5th,Sony,1.62,0.77,2.78,5.3
Final Fantasy X-2,2003,PS2,6th,Sony,1.92,1.08,2.11,5.29
Donkey Kong 64,1999,N64,5th,Nintendo,3.33,0.79,1.09,5.27
Assassin's Creed II,2009,X360,7th,Microsoft,3.1,1.56,0.08,5.27
Tomb Raider II,1997,PS,5th,Sony,2.3,2.46,0.2,5.24
Dragon Quest VIII: Journey of the Cursed King,2004,PS2,6th,Sony,0.65,0.75,3.61,5.21
New Super Mario Bros. U,2012,WiiU,8th,Nintendo,2.32,1.3,1.27,5.19
FIFA Soccer 13,2012,X360,7th,Microsoft,1.08,3.48,0.03,5.18
Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,4th,Nintendo,2.1,0.74,2.2,5.15
Medal of Honor: Rising Sun,2003,PS2,6th,Sony,1.98,2.23,0.13,5.13
Fable III,2010,X360,7th,Microsoft,3.59,1.11,0.05,5.13
Call of Duty: Advanced Warfare,2014,XOne,8th,Microsoft,3.21,1.53,0.01,5.13
Guitar Hero II,2006,PS2,6th,Sony,3.81,0.63,0,5.12
Resident Evil 5,2009,PS3,7th,Sony,1.96,1.43,1.08,5.11
Grand Theft Auto V,2014,XOne,8th,Microsoft,2.66,2.01,0,5.08
FIFA Soccer 11,2010,PS3,7th,Sony,0.6,3.29,0.06,5.08
Resident Evil,1996,PS,5th,Sony,2.05,1.16,1.11,5.05
Tony Hawk's Pro Skater,1999,PS,5th,Sony,3.42,1.38,0.02,5.02
Super Smash Bros. for Wii U and 3DS,2014,WiiU,8th,Nintendo,2.59,1.06,0.8,5.02
Warzone 2100,1999,PS,5th,Sony,2.79,1.89,0,5.01
Spyro the Dragon,1998,PS,5th,Sony,3.36,1.36,0.07,5
Link's Crossbow Training,2007,Wii,7th,Nintendo,3.06,1.18,0.29,5
Guitar Hero III: Legends of Rock,2007,PS2,6th,Sony,3.49,0.01,0.01,4.98
Fallout 3,2008,X360,7th,Microsoft,3.39,1.03,0.09,4.96
Uncharted: Drake's Fortune,2007,PS3,7th,Sony,2.31,1.73,0.12,4.94
Madden NFL 06,2005,PS2,6th,Sony,3.98,0.26,0.01,4.91
Diddy Kong Racing,1997,N64,5th,Nintendo,2.91,0.99,0.89,4.88
God of War III,2010,PS3,7th,Sony,2.74,1.36,0.12,4.84
Assassin's Creed,2007,PS3,7th,Sony,1.91,2,0.09,4.83
FIFA 15,2014,PS3,7th,Sony,0.57,3.14,0.04,4.82
Crash Team Racing,1999,PS,5th,Sony,2.57,1.57,0.44,4.79
FIFA 17,2016,PS4,8th,Sony,0.28,3.75,0.06,4.77
Batman: Arkham City,2011,X360,7th,Microsoft,2.99,1.31,0.04,4.76
Driver 2,2000,PS,5th,Sony,2.36,2.1,0.02,4.73
The Simpsons: Hit & Run,2003,PS2,6th,Sony,1.73,2.19,0,4.7
Tony Hawk's Pro Skater 2,2000,PS,5th,Sony,3.05,1.41,0.02,4.68
Animal Crossing: City Folk,2008,Wii,7th,Nintendo,1.87,1.12,1.32,4.68
The Lord of the Rings: The Two Towers,2002,PS2,6th,Sony,1.94,1.95,0.08,4.67
Forza Motorsport 4,2011,X360,7th,Microsoft,2.08,2.04,0.06,4.64
Tomb Raider,1996,PS,5th,Sony,2.29,1.97,0.13,4.63
Guitar Hero III: Legends of Rock,2007,Wii,7th,Nintendo,3.06,1.12,0,4.62
The Legend of Zelda: A Link to the Past,1991,SNES,4th,Nintendo,2.42,0.91,1.15,4.61
The Legend of Zelda: The Wind Waker,2002,GC,6th,Nintendo,2.6,0.99,0.89,4.6
Mario & Sonic at the Olympic Winter Games,2009,Wii,7th,Nintendo,1.89,1.99,0.22,4.58
Splatoon,2015,WiiU,8th,Nintendo,1.55,1.15,1.44,4.57
The Last of Us,2014,PS4,8th,Sony,1.78,1.87,0.07,4.55
Guitar Hero III: Legends of Rock,2007,X360,7th,Microsoft,3.19,0.92,0.01,4.53
Madden NFL 2005,2004,PS2,6th,Sony,4.18,0.26,0.01,4.53
Madden NFL 07,2006,PS2,6th,Sony,3.63,0.24,0.01,4.49
Spider-Man: The Movie,2002,PS2,6th,Sony,2.71,1.51,0.03,4.48
Dragon Quest VII: Warriors of Eden,2000,PS,5th,Sony,0.2,0.14,4.1,4.47
Uncharted: The Nathan Drake Collection,2015,PS4,8th,Sony,1.96,1.69,0.08,4.47
Call of Duty: Advanced Warfare,2014,PS3,7th,Sony,1.54,1.94,0.19,4.45
God of War,2005,PS2,6th,Sony,2.71,1.29,0.02,4.45
Nintendo Land,2012,WiiU,8th,Nintendo,2.55,1.11,0.46,4.44
Michael Jackson: The Experience,2010,Wii,7th,Nintendo,2.67,1.35,0.01,4.42
Tony Hawk's Pro Skater 3,2001,PS2,6th,Sony,2.66,1.29,0.01,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006,PS2,6th,Sony,0.1,2.39,1.05,4.39
The Elder Scrolls IV: Oblivion,2006,X360,7th,Microsoft,2.82,1.05,0.13,4.39
Need for Speed: Most Wanted,2005,PS2,6th,Sony,2.03,1.79,0.08,4.37
Resistance: Fall of Man,2006,PS3,7th,Sony,1.73,1.73,0.14,4.35
Sonic the Hedgehog,1991,GEN,4th,Sega,3.03,0.91,0.26,4.34
Kingdom Hearts II,2005,PS2,6th,Sony,2.2,0.58,1.38,4.33
FIFA 14,2013,X360,7th,Microsoft,0.92,2.93,0.01,4.31
Call of Duty: Advanced Warfare,2014,X360,7th,Microsoft,2.75,1.18,0,4.31
Fable II,2008,X360,7th,Microsoft,2.51,1.27,0.11,4.31
Halo 5: Guardians,2015,XOne,8th,Microsoft,2.64,1.2,0.03,4.26
Super Mario 3D World,2013,WiiU,8th,Nintendo,2.11,1.11,0.72,4.25
Batman: Arkham Asylum,2009,PS3,7th,Sony,2.23,1.34,0.07,4.25
Assassin's Creed: Revelations,2011,PS3,7th,Sony,1.41,2.02,0.1,4.24
Metal Gear Solid 3: Snake Eater,2004,PS2,6th,Sony,1.46,0,0.83,4.23
FIFA Soccer 06,2005,PS2,6th,Sony,0.78,2.55,0.04,4.21
EyeToy Play,2003,PS2,6th,Sony,0.88,2.3,0.2,4.2
Uncharted 4: A Thief's End,2016,PS4,8th,Sony,1.3,2.07,0.18,4.2
Gran Turismo 5 Prologue,2007,PS3,7th,Sony,1.28,1.83,0.57,4.2
Assassin's Creed: Revelations,2011,X360,7th,Microsoft,2.25,1.47,0.04,4.19
Street Fighter IV,2009,PS3,7th,Sony,2.02,1.06,0.58,4.19
FIFA 12,2011,X360,7th,Microsoft,0.84,2.79,0.02,4.19
Frogger,1997,PS,5th,Sony,3.79,0.27,0,4.16
Madden NFL 2003,2002,PS2,6th,Sony,3.36,0.21,0.01,4.14
Watch Dogs,2014,PS4,8th,Sony,1.4,1.86,0.11,4.14
Super Mario World 2: Yoshi's Island,1995,SNES,4th,Nintendo,1.65,0.61,1.76,4.12
FIFA Soccer 07,2006,PS2,6th,Sony,0.71,2.48,0.03,4.11
The Legend of Zelda: Skyward Sword,2011,Wii,7th,Nintendo,2.14,1.2,0.37,4.1
Street Fighter II Turbo,1992,SNES,4th,Nintendo,1.42,0.51,2.1,4.1
Carnival Games,2007,Wii,7th,Nintendo,2.13,1.5,0.05,4.1
Fallout 4,2015,XOne,8th,Microsoft,2.45,1.26,0.01,4.09
Fallout: New Vegas,2010,X360,7th,Microsoft,2.65,1.06,0.04,4.08
God of War II,2007,PS2,6th,Sony,2.32,0.04,0.04,4.07
Forza Motorsport 2,2007,X360,7th,Microsoft,2.35,1.28,0.03,4.06
World Soccer Winning Eleven 9,2005,PS2,6th,Sony,0.12,2.26,0.9,4.06
Namco Museum Vol.3,1996,PS,5th,Sony,2.28,1.55,0.16,4.05
Tekken Tag Tournament,2000,PS2,6th,Sony,1.68,1.51,0.51,4.05
Far Cry 4,2014,PS4,8th,Sony,1.12,2.12,0.1,4.03
Star Fox 64,1997,N64,5th,Nintendo,2.78,0.58,0.64,4.03
Minecraft,2014,PS4,8th,Sony,1.38,1.87,0.12,4.02
Fallout 3,2008,PS3,7th,Sony,2.15,1.2,0.07,4.01
Left 4 Dead 2,2009,X360,7th,Microsoft,2.67,0.89,0.05,3.99
Namco Museum: 50th Anniversary,2005,PS2,6th,Sony,2.08,1.35,0,3.98
EA Sports Active,2009,Wii,7th,Nintendo,2.1,1.36,0.06,3.92
Assassin's Creed: Unity,2014,PS4,8th,Sony,1.18,1.96,0.08,3.92
Tony Hawk's Underground,2003,PS2,6th,Sony,2.29,1.17,0.01,3.9
Assassin's Creed IV: Black Flag,2013,PS3,7th,Sony,1.33,1.71,0.13,3.89
MotorStorm,2006,PS3,7th,Sony,1.53,1.61,0.06,3.88
Tekken 5,2005,PS2,6th,Sony,0.93,1.94,0.31,3.87
Sports Champions,2010,PS3,7th,Sony,2.12,1.14,0.1,3.87
NBA 2K16,2015,PS4,8th,Sony,2.48,0.65,0.03,3.85
World Soccer Winning Eleven 8 International,2004,PS2,6th,Sony,0.16,1.89,1.12,3.85
Namco Museum Vol.1,1995,PS,5th,Sony,2.12,1.44,0.22,3.84
Big Brain Academy: Wii Degree,2007,Wii,7th,Nintendo,1.06,1.93,0.41,3.82
Batman: Arkham Knight,2015,PS4,8th,Sony,1.49,1.58,0.1,3.79
Mario & Sonic at the London 2012 Olympic Games,2011,Wii,7th,Nintendo,1.14,1.91,0.27,3.78
LEGO Indiana Jones: The Original Adventures,2008,X360,7th,Microsoft,2.4,1.03,0,3.78
Resident Evil Director's Cut,1996,PS,5th,Sony,1.82,1.24,0.47,3.77
Just Dance 2014,2013,Wii,7th,Nintendo,1.98,1.47,0,3.76
Super Paper Mario,2007,Wii,7th,Nintendo,1.98,0.88,0.59,3.76
Harry Potter and the Sorcerer's Stone,2001,PS,5th,Sony,1.37,2,0.14,3.73
The Witcher 3: Wild Hunt,2015,PS4,8th,Sony,0.96,2,0.21,3.73
Resident Evil 3: Nemesis,1999,PS,5th,Sony,1.3,0.77,1.54,3.72
Spyro: Year of the Dragon,2000,PS,5th,Sony,1.93,1.58,0,3.71
FIFA Soccer 2005,2004,PS2,6th,Sony,0.58,2.48,0.04,3.7
Battlefield 4,2013,PS3,7th,Sony,1.3,1.51,0.27,3.69
Tony Hawk's Pro Skater 4,2002,PS2,6th,Sony,2.13,1.18,0.01,3.67
Banjo-Kazooie,1998,N64,5th,Nintendo,1.87,1.13,0.55,3.65
SOCOM: U.S. Navy SEALs,2002,PS2,6th,Sony,2.53,0.81,0.06,3.65
Guitar Hero: World Tour,2008,Wii,7th,Nintendo,2.33,0.97,0,3.65
Gran Turismo 6,2013,PS3,7th,Sony,0.71,1.8,0.4,3.64
Jak and Daxter: The Precursor Legacy,2001,PS2,6th,Sony,2.08,1.09,0.15,3.64
Pokemon Snap,1999,N64,5th,Nintendo,2.23,0.68,0.66,3.63
FIFA Soccer 10,2009,PS3,7th,Sony,0.6,2.46,0.05,3.63
Pro Evolution Soccer 2008,2007,PS2,6th,Sony,0.05,0,0.64,3.63
Call of Duty: Ghosts,2013,PS4,8th,Sony,1.78,1.42,0.05,3.63
Resident Evil 4,2005,PS2,6th,Sony,2.08,0.83,0.46,3.62
Tom Clancy's The Division,2016,PS4,8th,Sony,1.28,1.61,0.15,3.61
Star Wars: Battlefront,2004,PS2,6th,Sony,1.93,1.22,0.03,3.61
The Simpsons: Road Rage,2001,PS2,6th,Sony,2.02,1.17,0,3.61
Luigi's Mansion,2001,GC,6th,Nintendo,2.38,0.67,0.46,3.6
Star Wars: Battlefront II,2005,PS2,6th,Sony,2.18,1.02,0.03,3.59
WWF SmackDown!,2000,PS,5th,Sony,2.01,1.35,0.06,3.58
Croc: Legend of the Gobbos,1997,PS,5th,Sony,1.57,1.79,0,3.56
Grand Theft Auto: Liberty City Stories,2006,PS2,6th,Sony,1.56,1.4,0.07,3.54
The Getaway,2002,PS2,6th,Sony,1.23,1.77,0.05,3.54
Tomb Raider III: Adventures of Lara Croft,1997,PS,5th,Sony,1.66,1.58,0.12,3.54
James Bond 007: Agent Under Fire,2001,PS2,6th,Sony,1.9,1.13,0.1,3.53
LEGO Star Wars: The Video Game,2005,PS2,6th,Sony,1.98,1.14,0.01,3.53
Battlefield 4,2013,X360,7th,Microsoft,2.14,1.08,0.02,3.53
FIFA Soccer 11,2010,X360,7th,Microsoft,0.71,2.4,0.02,3.53
Rugrats in Paris: The Movie,2000,PS,5th,Sony,1.96,1.33,0,3.52
Spyro 2: Ripto's Rage!,1999,PS,5th,Sony,2.14,1.21,0.01,3.52
Left 4 Dead,2008,X360,7th,Microsoft,2.66,0.5,0.05,3.52
Resident Evil 5,2009,X360,7th,Microsoft,2.11,0.94,0.12,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,SNES,4th,Nintendo,1.17,0.5,1.75,3.51
Assassin's Creed: Brotherhood,2010,X360,7th,Microsoft,2.84,0.39,0.03,3.5
Batman: Arkham Asylum,2009,X360,7th,Microsoft,2.2,0.97,0.02,3.5
Star Wars Battlefront (2015),2015,XOne,8th,Microsoft,1.94,1.22,0.02,3.49
Battlefield: Bad Company 2,2010,X360,7th,Microsoft,2.09,1.02,0.04,3.48
Assassin's Creed: Unity,2014,XOne,8th,Microsoft,2.26,0.89,0,3.46
Far Cry 3,2012,PS3,7th,Sony,0.88,1.75,0.1,3.45
Borderlands,2009,X360,7th,Microsoft,2.39,0.73,0.03,3.44
Tekken 4,2002,PS2,6th,Sony,1.55,1.27,0.33,3.44
Battlefield 4,2013,PS4,8th,Sony,1.34,1.54,0.17,3.43
LittleBigPlanet 2,2011,PS3,7th,Sony,1.82,1.07,0.06,3.42
Grand Theft Auto 2,1998,PS,5th,Sony,1.13,2.07,0,3.42
Final Fantasy III,1994,SNES,4th,Nintendo,0.86,0,2.55,3.42
Spider-Man 2,2004,PS2,6th,Sony,1.75,1.2,0.02,3.41
FIFA Soccer 2003,2002,PS2,6th,Sony,0.46,2.28,0.05,3.4
Crash Bash,2000,PS,5th,Sony,1.56,1.47,0.19,3.39
LEGO Batman: The Videogame,2008,X360,7th,Microsoft,2.03,1.03,0,3.38
Metal Gear Solid V: The Phantom Pain,2015,PS4,8th,Sony,1.08,1.35,0.48,3.38
WWF War Zone,1998,PS,5th,Sony,2.47,0.76,0,3.36
The Legend of Zelda: Majora's Mask,2000,N64,5th,Nintendo,1.9,0.67,0.73,3.36
Rugrats: Search For Reptar,1998,PS,5th,Sony,1.63,1.53,0,3.34
Assassin's Creed IV: Black Flag,2013,X360,7th,Microsoft,1.9,1.14,0.01,3.34
James Bond 007: Nightfire,2002,PS2,6th,Sony,1.45,1.29,0.12,3.33
Ratchet & Clank,2002,PS2,6th,Sony,1.44,1.01,0.57,3.33
Mario Party 9,2012,Wii,7th,Nintendo,1.15,1.17,0.76,3.32
Star Wars Episode III: Revenge of the Sith,2005,PS2,6th,Sony,1.47,1.39,0.03,3.32
Max Payne,2001,PS2,6th,Sony,1.99,1.05,0.05,3.31
The Lord of the Rings: The Return of the King,2003,PS2,6th,Sony,1.5,1.28,0.05,3.28
Assassin's Creed Syndicate,2015,PS4,8th,Sony,0.8,1.92,0.06,3.28
Destiny,2014,XOne,8th,Microsoft,2.13,0.92,0,3.28
True Crime: Streets of LA,2003,PS2,6th,Sony,1.89,1.05,0.02,3.27
Wii Music,2008,Wii,7th,Nintendo,1.36,1.13,0.46,3.27
Tekken,1995,PS,5th,Sony,0.95,1.3,0.77,3.24
FIFA 16,2015,XOne,8th,Microsoft,0.88,2.11,0,3.23
L.A. Noire,2011,PS3,7th,Sony,1.27,1.33,0.12,3.23
Madden NFL 16,2015,PS4,8th,Sony,2.33,0.3,0,3.22
007: Tomorrow Never Dies,1999,PS,5th,Sony,1.72,1.33,0,3.21
Killer Instinct,1995,SNES,4th,Nintendo,2.26,0.72,0.12,3.2
WWF SmackDown! 2: Know Your Role,2000,PS,5th,Sony,1.76,1.21,0.07,3.2
Dragon Quest VI: Maboroshi no Daichi,1995,SNES,4th,Nintendo,0,0,3.19,3.19
Dance Central,2010,X360,7th,Microsoft,2.15,0.77,0.01,3.19
Enter the Matrix,2003,PS2,6th,Sony,1.78,1.12,0.09,3.18
Super Mario Maker,2015,WiiU,8th,Nintendo,1.18,0.87,0.93,3.18
Fallout: New Vegas,2010,PS3,7th,Sony,1.52,1.08,0.1,3.17
Ace Combat 04: Shattered Skies,2001,PS2,6th,Sony,2.06,0.56,0.38,3.17
Animal Crossing,2001,GC,6th,Nintendo,1.92,0.16,0.99,3.15
Resident Evil 6,2012,PS3,7th,Sony,0.88,0.97,0.88,3.15
Halo: The Master Chief Collection,2014,XOne,8th,Microsoft,1.89,0.99,0.03,3.15
FIFA Soccer 08,2007,PS2,6th,Sony,0.68,0,0,3.14
Spider-Man,2000,PS,5th,Sony,1.7,1.25,0.02,3.13
Need for Speed III: Hot Pursuit,1998,PS,5th,Sony,2.14,0.86,0,3.12
Star Wars Episode I Racer,1999,N64,5th,Nintendo,2.31,0.62,0.14,3.12
The Elder Scrolls IV: Oblivion,2007,PS3,7th,Sony,1.69,0.87,0.14,3.12
Heavy Rain,2010,PS3,7th,Sony,1.29,1.27,0.06,3.12
Mass Effect 2,2010,X360,7th,Microsoft,1.99,0.82,0.03,3.11
FIFA 15,2014,X360,7th,Microsoft,0.78,2.02,0,3.11
