tree_id,tree_dbh,curb_loc,spc_common,status,health,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,postcode,nta,nta_name,latitude,longitude
310373,5,OnCurb,swamp white oak,Alive,Good,No,No,No,No,No,No,No,No,No,10013,MN24,SoHo-TriBeCa-Civic Center-Little Italy,40.72538977,-74.01092062
290270,5,OnCurb,Oklahoma redbud,Alive,Good,No,No,No,No,No,Yes,No,No,No,10032,MN36,Washington Heights South,40.83529633,-73.93990769
344064,10,OnCurb,swamp white oak,Alive,Good,No,No,No,No,No,No,No,No,No,10030,MN03,Central Harlem North-Polo Grounds,40.81993428,-73.93676802
104668,3,OnCurb,Japanese hornbeam,Alive,Good,Yes,No,No,No,No,No,No,No,No,10025,MN12,Upper West Side,40.79604123,-73.96877759
377975,5,OnCurb,cherry,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81344314,-73.94744671
378879,5,OnCurb,Callery pear,Alive,Good,Yes,No,No,No,No,Yes,No,No,No,10022,MN31,Lenox Hill-Roosevelt Island,40.76161528,-73.96495371
12993,3,OnCurb,pagoda dogwood,Alive,Fair,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73119864,-74.00468677
197583,5,OnCurb,pagoda dogwood,Alive,Fair,No,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.74394474,-73.97995775
369224,5,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,Yes,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81092068,-73.94907986
332333,3,OnCurb,Kentucky coffeetree,Alive,Good,Yes,No,No,No,No,No,No,No,No,10018,MN15,Clinton,40.75613618,-73.99134231
331248,4,OnCurb,Kentucky coffeetree,Alive,Good,No,No,No,No,No,No,No,No,No,10036,MN15,Clinton,40.75893189,-73.99555829
187630,3,OnCurb,Japanese hornbeam,Alive,Good,No,No,No,No,No,No,No,No,No,10026,MN11,Central Harlem South,40.8054409,-73.95472761
48967,4,OnCurb,Japanese hornbeam,Alive,Poor,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.74078534,-74.00725495
371060,4,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.8098246,-73.94622283
344522,8,OnCurb,Sophora,Alive,Good,Yes,No,Yes,No,No,Yes,No,No,Yes,10033,MN35,Washington Heights North,40.8493437,-73.93031494
368781,4,OnCurb,sweetgum,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.81069476,-73.95047495
298066,4,OnCurb,swamp white oak,Alive,Good,No,No,Yes,No,No,No,No,No,No,10033,MN35,Washington Heights North,40.85379706,-73.93738415
316316,4,OnCurb,swamp white oak,Alive,Fair,Yes,No,No,No,No,Yes,No,No,No,10033,MN35,Washington Heights North,40.85341233,-73.93202283
371055,7,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.80957097,-73.94561898
363240,7,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72165835,-73.97883819
352754,4,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73817028,-74.00595242
343712,15,OnCurb,Sophora,Alive,Good,Yes,No,No,No,No,No,No,No,Yes,10030,MN03,Central Harlem North-Polo Grounds,40.81866023,-73.93979476
344517,9,OnCurb,Sophora,Alive,Fair,Yes,No,Yes,No,No,No,No,No,Yes,10033,MN35,Washington Heights North,40.84950722,-73.93069603
365752,2,OnCurb,ginkgo,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72108414,-73.98207828
365204,14,OnCurb,honeylocust,Alive,Good,Yes,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72211751,-73.98384201
368784,4,OnCurb,sweetgum,Alive,Fair,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.81054003,-73.95010789
366661,11,OnCurb,honeylocust,Alive,Good,No,Yes,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75018203,-73.9711321
366662,3,OnCurb,honeylocust,Alive,Fair,No,Yes,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75014018,-73.97103303
343847,4,OnCurb,sweetgum,Alive,Poor,Yes,No,No,No,No,Yes,No,No,No,10030,MN03,Central Harlem North-Polo Grounds,40.81699761,-73.93971848
368783,3,OnCurb,sweetgum,Alive,Poor,No,No,No,No,No,Yes,No,No,No,10027,MN11,Central Harlem South,40.81060581,-73.95026394
335480,11,OnCurb,black locust,Alive,Good,Yes,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.7494159,-73.98086537
325835,7,OnCurb,Sophora,Alive,Good,No,No,Yes,No,No,No,No,No,No,10033,MN36,Washington Heights South,40.84762863,-73.93875228
348830,3,OnCurb,sweetgum,Alive,Fair,No,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76545832,-73.99184819
366367,6,OnCurb,ginkgo,Alive,Fair,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75100826,-73.97411281
366672,3,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.74980089,-73.97022971
346432,5,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.74145482,-73.97555349
335479,12,OnCurb,Sophora,Alive,Good,Yes,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.7493706,-73.98075808
366366,7,OnCurb,ginkgo,Alive,Fair,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75114984,-73.97400943
371066,5,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81015312,-73.94700498
371058,5,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.80973563,-73.94601101
371253,4,OnCurb,sweetgum,Alive,Poor,No,No,No,No,No,Yes,No,No,No,10040,MN35,Washington Heights North,40.85379554,-73.92900399
359221,9,OnCurb,Sophora,Alive,Good,Yes,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80533627,-73.94522007
371047,7,OnCurb,Sophora,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.8092536,-73.9448634
375826,7,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73748245,-74.00451909
375828,13,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73748921,-74.00416773
316578,3,OnCurb,hardy rubber tree,Alive,Poor,No,No,No,No,No,No,No,No,Yes,10032,MN36,Washington Heights South,40.84513392,-73.94222806
363244,8,OnCurb,cherry,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72194055,-73.97950622
365190,2,OnCurb,London planetree,Alive,Poor,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72284731,-73.9855674
348992,11,OnCurb,black locust,Alive,Good,No,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76494311,-73.98839182
375890,14,OnCurb,American elm,Alive,Fair,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73816884,-74.00504847
298065,3,OnCurb,swamp white oak,Alive,Good,No,No,Yes,No,No,No,No,No,No,10033,MN35,Washington Heights North,40.85396479,-73.93733182
309980,4,OnCurb,swamp white oak,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84395552,-73.93727775
325885,4,OnCurb,swamp white oak,Alive,Good,No,No,No,No,No,No,No,No,No,10033,MN36,Washington Heights South,40.84815777,-73.94095205
303811,3,OnCurb,swamp white oak,Alive,Fair,No,No,No,No,No,No,No,No,No,10033,MN36,Washington Heights South,40.84774815,-73.93658492
380735,2,OnCurb,American elm,Alive,Good,No,No,No,No,No,No,No,No,No,10065,MN40,Upper East Side-Carnegie Hill,40.76478573,-73.97023781
365325,10,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80672677,-73.9471963
365693,3,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80684176,-73.94721196
157333,17,OnCurb,Siberian elm,Alive,Good,Yes,No,No,No,No,No,No,No,No,10025,MN12,Upper West Side,40.79098255,-73.96726365
159078,12,OnCurb,Siberian elm,Alive,Good,No,No,No,No,No,No,No,No,No,10013,MN24,SoHo-TriBeCa-Civic Center-Little Italy,40.7252702,-74.00424915
303176,8,OnCurb,black walnut,Alive,Good,Yes,No,No,No,No,No,No,No,No,10075,MN32,Yorkville,40.77123998,-73.94810799
354916,7,OnCurb,Callery pear,Alive,Good,No,No,Yes,No,No,Yes,No,No,Yes,10017,MN19,Turtle Bay-East Midtown,40.7489221,-73.97228667
290271,5,OnCurb,Oklahoma redbud,Alive,Fair,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.83536389,-73.93992349
309977,3,OnCurb,swamp white oak,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84381329,-73.93694355
316315,4,OnCurb,swamp white oak,Alive,Fair,Yes,No,No,No,No,No,No,No,No,10033,MN35,Washington Heights North,40.85337227,-73.93192726
380817,10,OnCurb,ginkgo,Alive,Good,No,No,No,No,No,No,No,No,No,10065,MN40,Upper East Side-Carnegie Hill,40.76512332,-73.96937013
363682,6,OnCurb,cherry,Alive,Fair,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.7209902,-73.97886515
217409,4,OnCurb,Japanese tree lilac,Alive,Poor,No,No,No,No,No,Yes,No,No,Yes,10040,MN35,Washington Heights North,40.86305608,-73.92765795
268559,6,OnCurb,hardy rubber tree,Alive,Poor,No,No,No,No,No,No,No,No,No,10035,MN34,East Harlem North,40.79816413,-73.9339758
373594,12,OnCurb,ginkgo,Alive,Good,Yes,No,No,No,No,No,No,No,No,10022,MN19,Turtle Bay-East Midtown,40.75773645,-73.9674145
375741,4,OnCurb,ginkgo,Alive,Fair,Yes,Yes,No,No,No,Yes,No,No,Yes,10022,MN19,Turtle Bay-East Midtown,40.76033011,-73.96797354
354714,7,OnCurb,Callery pear,Alive,Good,No,Yes,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.74965253,-73.97247538
365763,5,OnCurb,black oak,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72150499,-73.98345824
363308,4,OnCurb,Chinese elm,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84451046,-73.9402668
388849,11,OnCurb,northern red oak,Alive,Good,No,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76639157,-73.9921218
389594,7,OnCurb,Japanese zelkova,Alive,Poor,Yes,No,No,No,No,Yes,No,No,Yes,10021,MN31,Lenox Hill-Roosevelt Island,40.76876017,-73.95630507
363303,4,OnCurb,Chinese elm,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.8442792,-73.93971657
363309,4,OnCurb,Chinese elm,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84460483,-73.94049133
363856,6,OnCurb,black oak,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72100309,-73.97915967
363304,5,OnCurb,Chinese elm,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84431775,-73.93980827
389595,8,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,Yes,No,No,No,10021,MN31,Lenox Hill-Roosevelt Island,40.76879805,-73.95639468
377648,15,OnCurb,Chinese elm,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81093656,-73.94667109
290287,3,OnCurb,swamp white oak,Alive,Good,No,No,Yes,No,No,No,No,No,No,10032,MN04,Hamilton Heights,40.82972171,-73.94170489
239194,2,OnCurb,Japanese tree lilac,Alive,Poor,No,No,No,No,No,Yes,No,No,No,10030,MN03,Central Harlem North-Polo Grounds,40.81441211,-73.94355637
378676,4,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.80993407,-73.94407747
382713,8,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81382963,-73.94629603
363862,4,OnCurb,,Dead,,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72133118,-73.97993656
365198,2,OnCurb,,Dead,,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72256204,-73.98489294
360167,3,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,Yes,10040,MN35,Washington Heights North,40.86045776,-73.92848738
331247,4,OnCurb,Kentucky coffeetree,Alive,Good,No,No,No,No,No,No,No,No,No,10036,MN15,Clinton,40.75895884,-73.99562243
378677,9,OnCurb,northern red oak,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.80987176,-73.94412326
360276,6,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,No,10040,MN35,Washington Heights North,40.86241651,-73.92856375
389593,9,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,No,10021,MN31,Lenox Hill-Roosevelt Island,40.76868761,-73.95613342
363857,5,OnCurb,black oak,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72103719,-73.97924042
382722,4,OnCurb,northern red oak,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81431795,-73.94745731
381844,10,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,Yes,10022,MN31,Lenox Hill-Roosevelt Island,40.76096962,-73.96507523
381846,16,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,Yes,No,No,No,10022,MN31,Lenox Hill-Roosevelt Island,40.76107593,-73.96532708
371629,4,OnCurb,Chinese elm,Alive,Good,Yes,No,No,No,No,No,No,No,No,10040,MN35,Washington Heights North,40.85388814,-73.93117331
309592,4,OnCurb,'Schubert' chokecherry,Alive,Fair,No,No,No,No,No,No,No,No,No,10033,MN36,Washington Heights South,40.84639799,-73.93473246
304550,4,OnCurb,'Schubert' chokecherry,Alive,Good,No,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76564276,-73.9861682
378674,4,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81020679,-73.94387708
382653,13,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81338881,-73.94692951
378675,5,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81013394,-73.94393062
365195,5,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72269661,-73.9852111
334958,5,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,Yes,No,No,No,10027,MN09,Morningside Heights,40.80854447,-73.96493573
365192,7,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72277023,-73.98538515
375483,4,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,No,10022,MN19,Turtle Bay-East Midtown,40.75842773,-73.96710711
365200,2,OnCurb,littleleaf linden,Alive,Fair,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72236198,-73.98441998
381840,11,OnCurb,Japanese zelkova,Alive,Good,Yes,No,No,No,No,No,No,No,Yes,10022,MN31,Lenox Hill-Roosevelt Island,40.76086956,-73.96483821
365689,12,OnCurb,littleleaf linden,Alive,Fair,Yes,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80703303,-73.94766468
365696,10,OnCurb,littleleaf linden,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN11,Central Harlem South,40.80669397,-73.94686217
365194,6,OnCurb,littleleaf linden,Alive,Poor,No,No,No,No,No,No,No,No,No,10009,MN22,East Village,40.72271381,-73.98525177
371079,21,OffsetFromCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81048293,-73.94757814
376390,11,OnCurb,littleleaf linden,Alive,Fair,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.80911523,-73.94647073
366396,7,OnCurb,littleleaf linden,Alive,Fair,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75065389,-73.97196311
380102,26,OnCurb,pin oak,Alive,Good,Yes,No,Yes,No,No,No,No,No,No,83,MN14,Lincoln Square,40.770901,-73.97968578
380097,4,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,83,MN14,Lincoln Square,40.77162874,-73.97915777
380106,18,OnCurb,pin oak,Alive,Good,No,No,Yes,No,No,No,No,No,No,83,MN14,Lincoln Square,40.76993869,-73.98038395
380108,23,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,83,MN14,Lincoln Square,40.76880766,-73.98120451
377974,6,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN03,Central Harlem North-Polo Grounds,40.81348312,-73.94754146
380099,23,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,83,MN14,Lincoln Square,40.771386,-73.97933389
381843,6,OnCurb,Japanese zelkova,Alive,Fair,Yes,No,No,No,No,Yes,No,No,Yes,10022,MN31,Lenox Hill-Roosevelt Island,40.7609491,-73.96502663
363673,2,OnCurb,littleleaf linden,Alive,Fair,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72138102,-73.97979104
308563,2,OnCurb,,Dead,,No,No,No,No,No,No,No,No,No,10035,MN34,East Harlem North,40.80321375,-73.93309696
363305,5,OnCurb,Japanese zelkova,Alive,Good,No,No,No,No,No,No,No,No,No,10032,MN36,Washington Heights South,40.84439483,-73.93999169
363230,2,OnCurb,,Dead,,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72136163,-73.97813579
386518,8,OnCurb,Callery pear,Alive,Good,No,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.7534518,-73.96970509
362953,13,OnCurb,Callery pear,Alive,Good,No,No,No,No,No,No,No,No,No,10009,MN28,Lower East Side,40.72207152,-73.97955305
386935,5,OnCurb,Callery pear,Alive,Fair,Yes,No,No,No,No,No,No,No,No,10017,MN19,Turtle Bay-East Midtown,40.75197796,-73.97047485
389642,11,OnCurb,pin oak,Alive,Good,Yes,No,No,No,No,No,No,No,Yes,10028,MN32,Yorkville,40.7729378,-73.94916553
389641,15,OnCurb,pin oak,Alive,Good,Yes,No,No,No,No,No,No,No,Yes,10028,MN32,Yorkville,40.77286584,-73.94921817
371308,3,OnCurb,pin oak,Alive,Poor,No,No,No,No,No,No,No,No,No,10040,MN35,Washington Heights North,40.85322189,-73.92932646
